config_key,dataset,evidence_pos,density,interference,status,num_sequences,avg_detections,std_detections,min_detections,max_detections,pct_with_detections
"('07_expert_legal_med', 'End', 'Low', 'P')",07_expert_legal_med,End,Low,P,success,20,0.6,1.4628738838327793,0,5,15.0
"('07_expert_legal_med', 'End', 'Low', 'T')",07_expert_legal_med,End,Low,T,success,19,1.105263157894737,2.337221401176265,0,7,21.052631578947366
"('07_expert_legal_med', 'End', 'Medium', 'N')",07_expert_legal_med,End,Medium,N,success,18,0.3888888888888889,1.1124991330278213,0,4,11.11111111111111
"('07_expert_legal_med', 'End', 'Medium', 'P')",07_expert_legal_med,End,Medium,P,success,20,0.65,1.3143439428094914,0,4,20.0
"('07_expert_legal_med', 'End', 'Medium', 'T')",07_expert_legal_med,End,Medium,T,success,20,0.4,1.019803902718557,0,4,15.0
"('07_expert_legal_med', 'Mid', 'High', 'N')",07_expert_legal_med,Mid,High,N,success,18,1.6666666666666667,6.871842709362768,0,30,5.555555555555555
"('07_expert_legal_med', 'Mid', 'High', 'P')",07_expert_legal_med,Mid,High,P,success,20,0.75,1.5771810295587503,0,5,20.0
"('07_expert_legal_med', 'Mid', 'High', 'T')",07_expert_legal_med,Mid,High,T,success,20,2.15,6.987667708184183,0,32,25.0
"('07_expert_legal_med', 'Mid', 'Low', 'N')",07_expert_legal_med,Mid,Low,N,success,19,0.0,0.0,0,0,0.0
"('07_expert_legal_med', 'Mid', 'Low', 'P')",07_expert_legal_med,Mid,Low,P,success,20,1.2,2.2045407685048604,0,7,25.0
"('07_expert_legal_med', 'Mid', 'Low', 'T')",07_expert_legal_med,Mid,Low,T,success,20,0.3,0.7810249675906655,0,3,15.0
